datasetid;recordid;uucr_id;rentree_universitaire;rentree;donnees_diffusables;sexe_de_l_etudiant;fields/niveau_geo;rgp_formations_ou_etablissements;geo_nom;secret;aca_id;effectif;donnees_soumises_au_secret_stat;a_des_effectifs_dut;sexe;a_des_effectifs_ing;secteur_de_l_etablissement;niveau_geographique;diffusable;secteur;regroupement;geo_id;reg_id;dep_id;record_timestamp;effectif_ing;effectif_dut
fr-esr-atlas_regional-effectifs-d-etudiants-inscrits;74767dabf01c5835a21293e86a7458a69f0cc0d2;CR63354;2013-14;2013;Données diffusables;Masculin;COMMUNE;Total des formations d'enseignement supérieur;Saint-Gervais-d'Auvergne;non;A06;8;Autres données;non;1;non;Établissements publics;Commune;oui;PU;TOTAL;63354;R84;D063;2017-04-03T12:31:09+00:00;;
fr-esr-atlas_regional-effectifs-d-etudiants-inscrits;84f57912d12cb3399a6c10df754aaf48077685a2;UU63303;2013-14;2013;Données diffusables;Masculin;COMMUNE;Sections de techniciens supérieurs (STS) et assimilés;Thiers;non;A06;100;Autres données;non;1;non;Établissements publics;Commune;oui;PU;STS;63430;R84;D063;2017-04-03T12:31:09+00:00;;
fr-esr-atlas_regional-effectifs-d-etudiants-inscrits;8086d59d2c543f733ee6c66aff14fda0439860be;UU00751;2013-14;2013;Données diffusables;Masculin;COMMUNE;Total des formations d'enseignement supérieur;Anglet;non;A04;33;Autres données;non;1;non;Établissements privés;Commune;oui;PR;TOTAL;64024;R75;D064;2017-04-03T12:31:09+00:00;;
fr-esr-atlas_regional-effectifs-d-etudiants-inscrits;b1736976dbea4c243d31c10ec25b5756b4652ddc;UU64601;2013-14;2013;Données diffusables;Feminin;COMMUNE;Autres formations d'ingénieurs;Assat;non;A04;15;Autres données;non;2;oui;Établissements privés;Commune;oui;PR;ING_autres;64067;R75;D064;2017-04-03T12:31:09+00:00;15;
fr-esr-atlas_regional-effectifs-d-etudiants-inscrits;c326592f099d7034663d6246007353513be3b314;CR64094;2013-14;2013;Données diffusables;Feminin;COMMUNE;Écoles paramédicales et sociales;Bardos;non;A04;31;Autres données;non;2;non;Établissements privés;Commune;oui;PR;EC_PARAM;64094;R75;D064;2017-04-03T12:31:09+00:00;;
fr-esr-atlas_regional-effectifs-d-etudiants-inscrits;d91339abc36c9bb56bf754a7bb63b691a62922e3;UU00751;2013-14;2013;Données diffusables;Feminin;COMMUNE;Classes préparatoires aux grandes écoles (CPGE);Bayonne;non;A04;61;Autres données;non;2;non;Établissements publics;Commune;oui;PU;CPGE;64102;R75;D064;2017-04-03T12:31:09+00:00;;
fr-esr-atlas_regional-effectifs-d-etudiants-inscrits;120d96f44908dcd6350b0f51e27c7526fddc216a;UU00751;2013-14;2013;Données diffusables;Feminin;COMMUNE;Sections de techniciens supérieurs (STS) et assimilés;Bayonne;non;A04;190;Autres données;non;2;non;Établissements publics;Commune;oui;PU;STS;64102;R75;D064;2017-04-03T12:31:09+00:00;;
fr-esr-atlas_regional-effectifs-d-etudiants-inscrits;efc354534e1d2b34bb62b3bb5fd1acf14c1ff5af;UU00751;2013-14;2013;Données diffusables;Masculin;COMMUNE;Sections de techniciens supérieurs (STS) et assimilés;Bayonne;non;A04;67;Autres données;non;1;non;Établissements privés;Commune;oui;PR;STS;64102;R75;D064;2017-04-03T12:31:09+00:00;;
fr-esr-atlas_regional-effectifs-d-etudiants-inscrits;163f10ba763c94893a9c161cde84404a9321ba08;UU00751;2013-14;2013;Données diffusables;Feminin;COMMUNE;Total des formations d'enseignement supérieur;Bayonne;non;A04;218;Autres données;non;2;oui;Établissements privés;Commune;oui;PR;TOTAL;64102;R75;D064;2017-04-03T12:31:09+00:00;83;
fr-esr-atlas_regional-effectifs-d-etudiants-inscrits;e9fce91edf78f136384e46d851e5bb42a46d060a;UU00751;2013-14;2013;Données diffusables;Masculin;COMMUNE;Total des formations d'enseignement supérieur;Bayonne;non;A04;644;Autres données;non;1;oui;Établissements privés;Commune;oui;PR;TOTAL;64102;R75;D064;2017-04-03T12:31:09+00:00;478;
